"x","y"
5,10
5.82341,10.8303
6.55865,11.5715
7.21867,12.2364
7.81518,12.8365
8.35861,13.3822
8.85819,13.8827
9.32186,14.346
9.75633,14.7789
10.1671,15.187
10.5583,15.5748
10.9329,15.9454
11.2928,16.3011
11.639,16.6433
11.9725,16.9733
12.2945,17.2923
12.6058,17.6017
12.9075,17.9023
13.2004,18.1954
13.4854,18.4819
13.7634,18.7625
14.0353,19.038
14.3017,19.3093
14.5636,19.5768
14.8215,19.8412
15.076,20.1028
15.3275,20.3618
15.5765,20.6186
15.8229,20.8731
16.0669,21.1252
16.3085,21.3748
16.5473,21.6216
16.7832,21.8652
17.0155,22.1051
17.2439,22.3405
17.4675,22.5709
17.6861,22.7956
17.899,23.014
18.106,23.2256
18.3068,23.4298
18.5013,23.6263
18.6893,23.8146
18.8708,23.9943
19.0459,24.1652
19.2147,24.327
19.3776,24.4794
19.5348,24.6224
19.6866,24.7557
19.8334,24.8795
19.9753,24.9939
20.1128,25.099
20.2462,25.195
20.3758,25.2824
20.502,25.3615
20.6251,25.433
20.7455,25.4972
20.8635,25.5551
20.9795,25.6071
21.0939,25.654
21.2069,25.6964
21.3188,25.7347
21.4299,25.7693
21.5405,25.8008
21.6507,25.8293
21.7607,25.8553
21.8708,25.8787
21.981,25.8999
22.0914,25.9189
22.2022,25.9357
22.3134,25.9504
22.4251,25.9631
22.5374,25.9739
22.6504,25.9827
22.7639,25.9898
22.8781,25.9952
22.993,25.999
23.1085,26.0013
23.2246,26.0022
23.3413,26.0019
23.4585,26.0005
23.5763,25.9981
23.6946,25.9947
23.8135,25.9906
23.933,25.9857
24.0533,25.9802
24.1744,25.9741
24.2965,25.9675
24.4198,25.9605
24.5443,25.953
24.6703,25.9452
24.7981,25.9371
24.9279,25.9286
25.0599,25.9199
25.1943,25.9109
25.3315,25.9017
25.4717,25.8923
25.6152,25.8827
25.7624,25.8729
25.9134,25.863
26.0687,25.853
26.2285,25.8429
26.3931,25.8327
26.5627,25.8224
26.7372,25.8122
26.9164,25.802
27.1,25.7921
27.2874,25.7826
27.4782,25.7735
27.6714,25.7652
27.8662,25.7576
28.0614,25.7512
28.256,25.746
28.4485,25.7423
28.6382,25.7404
28.824,25.7403
29.0055,25.7422
29.182,25.746
29.3534,25.752
29.5196,25.7599
29.6806,25.7699
29.8368,25.7818
29.9886,25.7954
30.1368,25.8106
30.282,25.8273
30.4248,25.8453
30.566,25.8645
30.7058,25.8848
30.8448,25.9062
30.9833,25.9286
31.1215,25.952
31.2597,25.9766
31.3979,26.0023
31.5361,26.0293
31.6744,26.0576
31.8126,26.0875
31.9507,26.1191
32.0887,26.1523
32.2267,26.1874
32.3647,26.2243
32.5028,26.2631
32.6412,26.3037
32.7802,26.3462
32.9198,26.3906
33.0605,26.4366
33.2024,26.4844
33.346,26.5338
33.4915,26.5847
33.6393,26.6371
33.7897,26.6909
33.9429,26.7462
34.0994,26.8029
34.2594,26.861
34.4232,26.9207
34.5911,26.982
34.7635,27.0449
34.9405,27.1095
35.1224,27.1759
35.3092,27.2442
35.5008,27.3141
35.6968,27.3857
35.8966,27.4587
36.0996,27.5329
36.3048,27.6078
36.5112,27.6832
36.7175,27.7586
36.9223,27.8334
37.1239,27.9071
37.3208,27.979
37.5117,28.0487
37.6954,28.1158
37.8712,28.18
38.0384,28.2411
38.1969,28.299
38.3465,28.3536
38.4873,28.405
38.62,28.4534
38.7452,28.4991
38.8639,28.5424
38.977,28.5837
39.0857,28.6233
39.1908,28.6616
39.293,28.6986
39.3932,28.7347
39.492,28.77
39.59,28.8046
39.6876,28.8386
39.7853,28.8719
39.8833,28.9046
39.9819,28.9365
40.0814,28.9675
40.1818,28.9976
40.2834,29.0265
40.3861,29.054
40.4901,29.0798
40.5954,29.1039
40.7021,29.1258
40.8101,29.1452
40.9194,29.1618
41.03,29.1753
41.1417,29.1853
41.2544,29.1913
41.3681,29.1931
41.4825,29.1905
41.5975,29.1832
41.713,29.171
41.8288,29.1541
41.9446,29.1323
42.0603,29.1056
42.1756,29.0743
42.2902,29.0385
42.4041,28.9984
42.5168,28.9544
42.6282,28.9066
42.7381,28.8553
42.8465,28.8006
42.9532,28.7429
43.0581,28.6823
43.1614,28.6189
43.2631,28.5529
43.3631,28.4845
43.4618,28.4136
43.5592,28.3405
43.6555,28.2652
43.7509,28.1877
43.8457,28.1082
43.94,28.0265
44.0342,27.9427
44.1284,27.8567
44.2229,27.7684
44.318,27.6778
44.414,27.5847
44.5111,27.489
44.6097,27.3906
44.71,27.2893
44.8121,27.185
44.9162,27.0778
45.0222,26.9678
45.1301,26.8552
45.2396,26.7404
45.3505,26.6235
45.4625,26.5052
45.5751,26.386
45.6878,26.2665
45.7998,26.1473
45.9108,26.0293
46.02,25.9129
46.1271,25.7986
46.2318,25.6869
46.3338,25.5781
46.433,25.4722
46.5294,25.3693
46.623,25.2694
46.714,25.1725
46.8026,25.0781
46.8893,24.9859
46.9744,24.8956
47.0582,24.8069
47.141,24.7193
47.2232,24.6328
47.3048,24.5471
47.3862,24.462
47.4675,24.3775
47.5486,24.2936
47.6298,24.2101
47.7111,24.1273
47.7923,24.0451
47.8735,23.9638
47.9547,23.8833
48.0359,23.8039
48.117,23.7256
48.1982,23.6485
48.2794,23.5726
48.3608,23.4981
48.4423,23.4248
48.5242,23.353
48.6066,23.2825
48.6895,23.2133
48.7731,23.1456
48.8576,23.0792
48.9429,23.0142
49.0291,22.9504
49.1163,22.888
49.2043,22.8267
49.2933,22.7666
49.383,22.7076
49.4734,22.6496
49.5644,22.5926
49.6557,22.5364
49.7472,22.481
49.8389,22.4263
49.9305,22.3722
50.022,22.3186
50.1134,22.2656
50.2046,22.213
50.2956,22.1608
50.3865,22.109
50.4773,22.0576
50.5682,22.0065
50.6593,21.9558
50.7506,21.9054
50.8425,21.8553
50.9349,21.8055
51.0282,21.7559
51.1225,21.7064
51.218,21.657
51.3149,21.6075
51.4134,21.5579
51.5138,21.508
51.6164,21.4576
51.7213,21.4066
51.8289,21.3549
51.9393,21.3023
52.0527,21.2486
52.1693,21.1938
52.2891,21.1377
52.4123,21.0804
52.5387,21.0217
52.6685,20.9617
52.8016,20.9004
52.9379,20.8377
53.0773,20.7737
53.2196,20.7084
53.3646,20.642
53.5119,20.5745
53.6613,20.5062
53.8122,20.4371
53.9643,20.3676
54.117,20.2978
54.2695,20.2281
54.4214,20.1586
54.5718,20.0898
54.7198,20.0221
54.8649,19.9557
55.0063,19.8909
55.1434,19.828
55.276,19.7671
55.4038,19.7082
55.5266,19.6515
55.6445,19.5967
55.7577,19.5439
55.8663,19.4928
55.9709,19.4431
56.0719,19.3946
56.1699,19.3469
56.2655,19.2997
56.3591,19.2528
56.4512,19.2058
56.5422,19.1587
56.6324,19.1112
56.7221,19.0633
56.8116,19.0148
56.901,18.9657
56.9905,18.9161
57.0801,18.8658
57.1701,18.8149
57.2604,18.7635
57.3512,18.7114
57.4425,18.6586
57.5344,18.6048
57.6271,18.5499
57.7206,18.4936
57.8151,18.4358
57.9106,18.3759
58.0074,18.3137
58.1055,18.2488
58.205,18.1807
58.306,18.1092
58.4086,18.0341
58.5126,17.9552
58.6182,17.8726
58.7251,17.7863
58.8333,17.6965
58.9426,17.6034
59.0528,17.5075
59.1636,17.409
59.2747,17.3087
59.3859,17.2069
59.4969,17.1043
59.6074,17.0014
59.7173,16.8985
59.8263,16.796
59.9342,16.6943
60.0411,16.5936
60.1466,16.4943
60.2509,16.3965
60.3537,16.3003
60.4552,16.206
60.5552,16.1136
60.6538,16.0231
60.7511,15.9345
60.847,15.8479
60.9415,15.7633
61.0348,15.6806
61.1269,15.5996
61.2179,15.5204
61.3078,15.4427
61.3967,15.3664
61.4849,15.2913
61.5723,15.2173
61.6591,15.1441
61.7456,15.0715
61.832,14.9995
61.9185,14.9278
62.0054,14.8563
62.093,14.7849
62.1816,14.7134
62.2717,14.6418
62.3636,14.5699
62.4579,14.4976
62.5554,14.4245
62.6583,14.3497
62.7694,14.2714
62.8927,14.1874
63.0333,14.0948
63.1972,13.9902
63.3914,13.8694
63.6238,13.7276
63.9037,13.5596
64.2409,13.3594
64.6462,13.1205
65.1267,12.8387
65.6817,12.5143
66.302,12.1524
66.9707,11.7627
67.6622,11.3601
68.343,10.9638
68.9714,10.5983
69.4972,10.2925
69.8622,10.0801
70,10
